2022-11-01 21:15:04 upgrade libc6:amd64 2.35-0ubuntu3 2.35-0ubuntu3
2022-11-01 21:15:04 status half-configured libc6:amd64 2.35-0ubuntu3
2022-11-01 21:15:04 status unpacked libc6:amd64 2.35-0ubuntu3
2022-11-01 21:15:04 status half-installed libc6:amd64 2.35-0ubuntu3
2022-11-01 21:15:04 status unpacked libc6:amd64 2.35-0ubuntu3
2022-11-01 21:15:04 install libcap-ng0:amd64 <none> 0.7.9-2.2build3
2022-11-01 21:15:04 status half-installed libcap-ng0:amd64 0.7.9-2.2build3
2022-11-01 21:15:04 status unpacked libcap-ng0:amd64 0.7.9-2.2build3
2022-11-01 21:15:04 install libcap2:amd64 <none> 1:2.44-1build3
2022-11-01 21:15:04 status half-installed libcap2:amd64 1:2.44-1build3
2022-11-01 21:15:04 status unpacked libcap2:amd64 1:2.44-1build3
2022-11-01 21:15:04 install libcom-err2:amd64 <none> 1.46.5-2ubuntu1
2022-11-01 21:15:04 status half-installed libcom-err2:amd64 1.46.5-2ubuntu1
2022-11-01 21:15:04 status unpacked libcom-err2:amd64 1.46.5-2ubuntu1
2022-11-01 21:15:04 install libcrypt1:amd64 <none> 1:4.4.27-1
2022-11-01 21:15:04 status half-installed libcrypt1:amd64 1:4.4.27-1
2022-11-01 21:15:04 status unpacked libcrypt1:amd64 1:4.4.27-1
2022-11-01 21:15:04 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.8ubuntu3
2022-11-01 21:15:04 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.8ubuntu3
2022-11-01 21:15:04 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8ubuntu3
2022-11-01 21:15:04 install libdebconfclient0:amd64 <none> 0.261ubuntu1
2022-11-01 21:15:04 status half-installed libdebconfclient0:amd64 0.261ubuntu1
2022-11-01 21:15:04 status unpacked libdebconfclient0:amd64 0.261ubuntu1
2022-11-01 21:15:04 install libext2fs2:amd64 <none> 1.46.5-2ubuntu1
2022-11-01 21:15:04 status half-installed libext2fs2:amd64 1.46.5-2ubuntu1
2022-11-01 21:15:04 status unpacked libext2fs2:amd64 1.46.5-2ubuntu1
2022-11-01 21:15:04 install libgcc-s1:amd64 <none> 12-20220319-1ubuntu1
2022-11-01 21:15:04 status half-installed libgcc-s1:amd64 12-20220319-1ubuntu1
2022-11-01 21:15:04 status unpacked libgcc-s1:amd64 12-20220319-1ubuntu1
2022-11-01 21:15:04 install libgcrypt20:amd64 <none> 1.9.4-3ubuntu3
2022-11-01 21:15:04 status half-installed libgcrypt20:amd64 1.9.4-3ubuntu3
